iter	Passed	Remaining
943	72358	4292
944	72449	4216
945	72521	4139
946	72603	4063
947	72692	3987
948	72781	3911
949	72861	3834
950	72931	3757
951	73008	3681
952	73082	3604
953	73160	3527
954	73247	3451
955	73328	3374
956	73408	3298
957	73480	3221
958	73548	3144
959	73616	3067
960	73685	2990
961	73754	2913
962	73821	2836
963	73890	2759
964	73960	2682
965	74027	2605
966	74093	2528
967	74161	2451
968	74228	2374
969	74294	2297
970	74363	2220
971	74431	2144
972	74502	2067
973	74572	1990
974	74643	1913
975	74712	1837
976	74784	1760
977	74854	1683
978	74926	1607
979	74995	1530
980	75075	1454
981	75144	1377
982	75216	1300
983	75291	1224
984	75359	1147
985	75430	1071
986	75500	994
987	75568	917
988	75636	841
989	75705	764
990	75775	688
991	75849	611
992	75917	535
993	75985	458
994	76053	382
995	76121	305
996	76193	229
997	76261	152
998	76333	76
999	76403	0
